"","Dyad_ID","Group_name","Season","Group_size","Sex","Breeding_status","Age_class","Playing","Allopreening","Proximal foraging","Scrounging","Dominance display","Allofeeding"
"1","53845420","ARU","Autumn",10,"Male-Female","Parent-Parent","Adult-Adult",0,2,13,0,3,2
"2","53845862","ARU","Autumn",10,"Male-Male","Parent-Helper","Adult-Adult",0,3,16,2,0,0
"3","53845966","ARU","Autumn",10,"Male-Male","Parent-Helper","Adult-Yearling",0,1,10,2,0,0
"4","53845965","ARU","Autumn",10,"Male-Male","Parent-Helper","Adult-Yearling",0,5,11,2,2,1
"5","53846046","ARU","Autumn",10,"Male-Female","Parent-Helper","Adult-Fledgling",0,3,12,2,2,0
"6","53846120","ARU","Autumn",10,"Male-Male","Parent-Helper","Adult-Fledgling",1,4,7,0,0,1
"7","54205862","ARU","Autumn",10,"Male-Female","Parent-Helper","Adult-Adult",0,5,19,2,0,0
"8","54205966","ARU","Autumn",10,"Male-Female","Parent-Helper","Adult-Yearling",0,2,16,0,0,0
"9","54205965","ARU","Autumn",10,"Male-Female","Parent-Helper","Adult-Yearling",0,4,11,0,0,0
"10","54206046","ARU","Autumn",10,"Female-Female","Parent-Helper","Adult-Fledgling",1,4,14,0,0,0
"11","54206120","ARU","Autumn",10,"Male-Female","Parent-Helper","Adult-Fledgling",0,4,11,0,0,1
"12","58625966","ARU","Autumn",10,"Male-Male","Helper-Helper","Adult-Yearling",0,3,27,0,0,2
"13","58625965","ARU","Autumn",10,"Male-Male","Helper-Helper","Adult-Yearling",1,6,20,0,0,3
"14","58626046","ARU","Autumn",10,"Male-Female","Helper-Helper","Adult-Fledgling",0,3,27,2,1,0
"15","58626120","ARU","Autumn",10,"Male-Male","Helper-Helper","Adult-Fledgling",1,4,16,6,4,0
"16","59665965","ARU","Autumn",10,"Male-Male","Helper-Helper","Yearling-Yearling",2,6,20,1,0,1
"17","59666046","ARU","Autumn",10,"Male-Female","Helper-Helper","Yearling-Fledgling",5,6,27,2,0,1
"18","59666120","ARU","Autumn",10,"Male-Male","Helper-Helper","Yearling-Fledgling",2,3,18,1,2,1
"19","59656046","ARU","Autumn",10,"Male-Female","Helper-Helper","Yearling-Fledgling",1,5,21,3,1,0
"20","59656120","ARU","Autumn",10,"Male-Male","Helper-Helper","Yearling-Fledgling",4,6,11,1,0,0
"21","60466120","ARU","Autumn",10,"Male-Female","Helper-Helper","Fledgling-Fledgling",10,6,27,1,0,2
"22","53845420","ARU","Winter",6,"Male-Female","Parent-Parent","Adult-Adult",0,7,12,1,3,5
"23","53845862","ARU","Winter",6,"Male-Male","Parent-Helper","Adult-Adult",0,9,14,1,0,1
"24","53845966","ARU","Winter",6,"Male-Male","Parent-Helper","Adult-Yearling",0,5,13,5,0,0
"25","53845965","ARU","Winter",6,"Male-Male","Parent-Helper","Adult-Yearling",0,8,15,6,0,1
"26","53846046","ARU","Winter",6,"Male-Female","Parent-Helper","Adult-Young",0,6,18,5,0,2
"27","54205862","ARU","Winter",6,"Male-Female","Parent-Helper","Adult-Adult",0,10,16,1,0,0
"28","54205966","ARU","Winter",6,"Male-Female","Parent-Helper","Adult-Yearling",1,8,13,5,0,1
"29","54205965","ARU","Winter",6,"Male-Female","Parent-Helper","Adult-Yearling",0,7,12,2,0,1
"30","54206046","ARU","Winter",6,"Female-Female","Parent-Helper","Adult-Young",0,6,19,4,0,2
"31","58625966","ARU","Winter",6,"Male-Male","Helper-Helper","Adult-Yearling",3,5,15,5,1,3
"32","58625965","ARU","Winter",6,"Male-Male","Helper-Helper","Adult-Yearling",2,8,16,4,0,0
"33","58626046","ARU","Winter",6,"Male-Female","Helper-Helper","Adult-Young",1,6,36,7,0,5
"34","59665965","ARU","Winter",6,"Male-Male","Helper-Helper","Yearling-Yearling",4,5,20,3,0,2
"35","59666046","ARU","Winter",6,"Male-Female","Helper-Helper","Yearling-Young",7,6,34,10,0,1
"36","59656046","ARU","Winter",6,"Male-Female","Helper-Helper","Yearling-Young",6,9,30,5,0,1
"37","57125755","BER","Autumn",9,"Male-Female","Parent-Parent","Adult-Adult",0,7,7,0,3,1
"38","57126006","BER","Autumn",9,"Male-Female","Parent-Helper","Adult-Yearling",0,5,9,1,4,0
"39","57126004","BER","Autumn",9,"Male-Female","Parent-Helper","Adult-Yearling",0,5,12,2,2,0
"40","57126172","BER","Autumn",9,"Male-Male","Parent-Helper","Adult-Young",0,3,18,7,4,1
"41","57126174","BER","Autumn",9,"Male-Male","Parent-Helper","Adult-Young",0,4,9,1,2,0
