ID,Name,Sex,Group_rank,Birthdate,Focal_date,Age,Age_class,Breeding_status,Group_name,Season,Group_size,Playing strength,Allopreening strength,Proximal foraging strength,Scrounging outstrength,Scrounging instrength,Dominance display outstrength,Dominance display instrength,Allofeeding outstrength,Allofeeding instrength
5384,SZTL,Male,1,14/03/2013,05/10/2018,2031,Adult,Parent,ARU,Autumn,10,1,26,117,12,18,18,0,19,0
5420,HLAT,Female,2,01/05/2013,05/10/2018,1983,Adult,Parent,ARU,Autumn,10,2,25,144,2,8,0,3,18,2
5862,LATZ,Male,3,07/06/2016,05/10/2018,850,Adult,Helper,ARU,Autumn,10,5,29,210,4,42,13,0,20,0
5966,ATPV,Male,4,30/06/2017,05/10/2018,462,Adult,Helper,ARU,Autumn,10,18,32,220,6,53,6,0,26,2
5965,CSTP,Male,5,30/06/2017,05/10/2018,462,Adult,Helper,ARU,Autumn,10,18,44,161,7,28,4,2,12,5
6046,PSCT,Female,6,27/04/2018,05/10/2018,161,Fledgling,Helper,ARU,Autumn,10,48,39,216,6,31,1,4,20,2
6120,XXXX,Male,7,27/04/2018,05/10/2018,161,Fledgling,Helper,ARU,Autumn,10,49,36,151,16,10,11,6,2,4
5384,SZTL,Male,1,14/03/2013,17/12/2018,2104,Adult,Parent,ARU,Winter,6,0,35,72,7,11,3,0,9,0
5420,HLAT,Female,2,01/05/2013,17/12/2018,2056,Adult,Parent,ARU,Winter,6,1,38,72,4,9,0,3,4,5
5862,LATZ,Male,3,07/06/2016,17/12/2018,923,Adult,Helper,ARU,Winter,6,6,38,97,10,8,1,0,8,1
5966,ATPV,Male,4,30/06/2017,17/12/2018,535,Adult,Helper,ARU,Winter,6,15,29,95,10,18,0,1,3,4
5965,CSTP,Male,5,30/06/2017,17/12/2018,535,Adult,Helper,ARU,Winter,6,12,37,93,15,5,0,0,1,4
6046,PSCT,Female,6,27/04/2018,17/12/2018,234,Fledgling,Helper,ARU,Winter,6,14,33,137,18,13,0,0,0,11
5712,CATC,Male,1,01/05/2015,08/11/2019,1652,Adult,Parent,BER,Autumn,9,0,38,89,2,13,15,2,2,0
5755,SPAT,Female,2,15/06/2015,08/11/2019,2207,Adult,Parent,BER,Autumn,9,0,34,51,0,21,2,1,0,1
6006,LPTS,Female,3,09/03/2018,08/11/2019,609,Adult,Helper,BER,Autumn,9,44,37,115,11,19,10,4,8,0
6004,TVLL,Female,4,09/03/2018,08/11/2019,609,Adult,Helper,BER,Autumn,9,35,38,118,14,24,2,2,10,0
6172,CCTV,Male,5,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,33,37,146,27,11,8,7,2,7
6174,ZTSA,Male,6,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,52,26,120,10,13,1,6,0,3
6175,SCZT,Female,7,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,47,31,138,16,3,2,5,0,3
6173,THCP,Female,8,10/03/2019,08/11/2019,243,Fledgling,Helper,BER,Autumn,9,39,33,118,17,10,0,9,1,7
6224,CTAZ,Female,9,08/05/2019,08/11/2019,184,Fledgling,Helper,BER,Autumn,9,30,36,123,20,3,0,4,0,2
5712,CATC,Male,1,01/05/2015,13/01/2020,1718,Adult,Parent,BER,Winter,9,0,25,324,1,0,0,0,3,0
