id,sex,weight,svl
BGS-0425,F,45,39
BGS-10,F,66.5,45
BGS-1000,F,4.966666667,19.2
BGS-1001,F,4.65,19.55
BGS-1002,M,5.7,20.5
BGS-1003,M,7.4,21.05
BGS-1004,M,8,37.55
BGS-1005,F,5.6,20
BGS-1006,M,6.85,21.7
BGS-1007,M,10.2,24.46666667
BGS-1008,F,4.8,20.5
BGS-1009,F,26.375,30.325
BGS-1010,F,7.9,22.33333333
BGS-1011,M,8.05,22.5
BGS-1012,F,5.7,21
BGS-1013,M,5.7,40.5
BGS-1014,M,5,19.3
BGS-1015,F,8.333333333,22.2
BGS-1016,M,6.4,22.175
BGS-1017,M,8.6,22.8
BGS-1018,M,28.25,37.075
BGS-1019,M,6.3,19
BGS-1020,F,13.4,26.1
BGS-1021,M,21.75,31.2
BGS-1022,M,6.4,20.2
BGS-1023,F,5.8,20.1
BGS-1024,F,7.8,22
BGS-1025,F,42.95,38.85
BGS-1026,F,4.5,19
BGS-1027,F,9.1,21.65
BGS-1028,F,6.5,20.675
BGS-1029,M,6.6,21
BGS-1030,M,24.2,35.6
BGS-1031,F,8.45,22.7
BGS-1032,F,38.55,31.2
BGS-1033,F,4.5,18.5
BGS-1034,M,6.7,19.7
BGS-1035,F,4.5,19.5
BGS-1036,F,11.8,26.5
BGS-1037,M,5.9,21.6
BGS-1038,M,6.1,19.3
BGS-1039,M,5.7,18.5
BGS-1040,M,7.5,19.7
BGS-1041,F,5.65,18.8
BGS-1042,F,9.2,22.5
BGS-1043,F,6.1,20.1
BGS-1044,F,10,23.3
BGS-1045,M,7.1,20.4
BGS-1046,M,5.35,18.5
BGS-1047,F,5.5,20.5
BGS-1048,M,7.3,22
BGS-1049,M,6.733333333,22.3
BGS-1050,M,16.3,27.7
BGS-1052,M,21.5,33
BGS-1053,M,18.5,30
BGS-1054,M,27.4,36.6
BGS-1055,M,8.7,22.9
BGS-1056,M,9.15,24.175
BGS-1057,F,41.8,40.7
BGS-1058,F,9.05,23.6
BGS-1059,M,25.5,36
BGS-1060,M,10.68,24.175
BGS-1061,F,6.7,21.5
BGS-1062,M,7.95,21.5
BGS-1063,M,5,18
BGS-1064,F,31.5,36
BGS-1065,F,28,36.5
BGS-1066,M,8.033333333,22.63333333
BGS-1067,F,6.9,21.95
BGS-1068,M,11.45,29.3
BGS-1070,M,7,20.6
BGS-1071,M,6,19.6
BGS-1072,F,10.2,25.05
BGS-1073,M,8.1,21.7
BGS-1074,F,7.8,22.7
BGS-1075,M,6.3,20.4
BGS-1076,M,26,36.3
BGS-1077,M,9.466666667,23.3
BGS-1078,F,8.5,24.7
BGS-1079,F,11.5,25.1
BGS-1080,F,6.6,21
BGS-1081,F,5,17.2
BGS-1082,M,9.3,22.5
BGS-1083,M,9.1,22.3
BGS-1084,F,9.9,23.1
BGS-1085,F,29,34.1
BGS-1086,M,6.1,20.2
BGS-1087,M,12.03333333,24.73333333
BGS-1088,F,35.91111111,35.05
BGS-1089,F,24.7,35.7
BGS-1090,F,30.4,35
BGS-1091,F,8.7,23
BGS-1092,F,9.7,23.5
BGS-1093,F,8.7,23.25
BGS-1094,M,11.5,24.5
BGS-1095,M,9.3,23
BGS-1096,F,8.7,23.7
BGS-1097,M,8.4,23.6
BGS-1098,M,29.5,37.2
BGS-11,M,34,37.8
BGS-110,M,29.75,40.9
BGS-1100,F,7.6,24.2
BGS-1101,F,9.2,22.7
BGS-1102,M,9.9,24.4
BGS-1103,M,30,38.2
BGS-1104,M,21.7,35
BGS-1105,M,21.8,32
BGS-1106,M,21.7,34.4
BGS-1107,F,7.4,21.1
BGS-1108,F,37.975,34.9
BGS-1109,M,27.2,36
BGS-1110,F,71.5,45.5
BGS-1111,M,5.5,20.5
BGS-1112,M,10.55,25.5
BGS-1113,M,8.3,22.7
BGS-1114,F,7.4,22.6
BGS-1115,F,11.5,24.5
BGS-1116,M,5.9,21.2
BGS-1117,F,4.8,18.8
BGS-1118,M,7,22.5
BGS-1119,F,9.9,24.6
BGS-1120,F,8.1,23.5
BGS-1121,M,6.9,22.4
BGS-1122,M,6,20.6
BGS-1123,M,5.9,19.8
BGS-1124,F,6.9,21.3
BGS-1125,F,10.3,24
BGS-1126,M,8.6,22.6
BGS-1127,M,8.3,23.5
BGS-1128,F,6.9,22
BGS-1129,M,7.9,22.8
BGS-113,F,72,35
BGS-1130,F,6,21
BGS-1131,F,8.7,23.2
BGS-1132,F,12.7,26.2
BGS-1133,M,12.1,26.5
BGS-1134,M,9.5,23.8
BGS-1135,M,7.9,22.2
BGS-1136,M,8.7,23
BGS-1137,F,5.9,20.2
BGS-1138,M,14.15,26.45
BGS-1139,M,5.9,21
BGS-1140,M,4.5,20
BGS-1141,F,9.9,24.7
BGS-1142,M,7.4,22
BGS-1143,F,6.5,21.5
BGS-1144,M,12.3,26.8
BGS-1145,M,8.3,22
BGS-1146,M,10.4,24
BGS-1147,M,10.9,25.2
BGS-1148,F,6.7,21.8
BGS-1149,F,5.8,19.5
BGS-1150,M,5.6,21.2
BGS-1151,M,19.5,33.9
BGS-1152,M,7.7,23.6
BGS-1153,F,50.8,37.5
BGS-1154,M,19,31.8
BGS-1155,F,40.8,34.96666667
BGS-1156,M,28.5,40.2
BGS-1157,F,34,35.8
BGS-1158,F,43.6,41.5
BGS-1159,M,22.8,36.4
BGS-1160,F,54,44
BGS-1161,F,48.08,42
BGS-1162,F,70.4,47
BGS-1163,F,52.5,44.2
BGS-1164,M,21.6,35
BGS-1165,M,17.8,32
BGS-1166,M,20.2,37.3
BGS-1167,F,41.6,39.8
BGS-1168,F,11.5,24.1
BGS-1169,M,30.2,37.3
BGS-1170,M,24.2,36.9
BGS-1171,F,33.78333333,36.92
BGS-1172,F,52.2,41.46666667
BGS-1173,F,43,35.3
BGS-1174,F,50.86666667,40.73333333
BGS-1175,F,38.7,40
BGS-1176,F,34.5,38.6
BGS-1177,F,23.5,31.2
BGS-1178,M,5.1,18.9
BGS-1179,F,30.8,34.5
BGS-1180,F,7,24.2
BGS-1181,F,8.6,23.4
BGS-1182,M,9.05,26.75
BGS-1183,F,10.4,27.4
BGS-1184,F,45.6,44
BGS-1185,M,8.95,25.85
BGS-1186,F,45.56666667,38.26666667
BGS-1187,F,64.4,42.2
BGS-1188,F,5.9,21.7
BGS-119,M,25.5,26.3
BGS-1190,M,13.5,25.2
BGS-1191,M,25.3,36.55
BGS-1192,F,71.65,45.03333333
BGS-1193,M,10.75,25.5
BGS-1194,M,9.4,24.3
BGS-1195,F,13.1,26.25
BGS-1196,F,45.8,43.4
BGS-1197,F,37.25,38.65
BGS-1198,F,76.6,46
