Network_ID,Network_Identifier,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_771.graphml,lion_proximity_weighted,Mammalia,Panthera,leo,Proximity,Pride interaction frequencies,,"Serengeti National Park, Tanzania",free-ranging,all_occurence_sampling,2213 hours,NA,NA,NA,FALSE,9,12,4,0.061,2,0.667,0.85,1.274,0.906,0.167,0.255,1.527,0.25,0.094,0.376,0.648,1,0,0,0,0,0,0,0.25,0.231,1,0,0,NA,0.749625187,1,3,1,"Craft, M. E. (2010). Ecology of infectious diseases in Serengeti lions. In D. MacDonald, & A. Loveridge (Eds.), Biology and conservation of wild felids (pp. 263–281). Oxford, UK: Oxford University Press."
Network_772.graphml,lion_proximity_weighted,Mammalia,Panthera,leo,Proximity,Male coalitions that were resident in multiple prides,,"Serengeti National Park, Tanzania",free-ranging,all_occurence_sampling,2213 hours,NA,NA,NA,TRUE,1,13,19,0.244,7,2.923,1.591,0.544,1.189,0.154,0.084,0.545,0.053,0.024,0.453,0.333,-0.049,0.124,0.182,0.565656566,0.147,0.183,0.651515152,0.304,0.121,0.453,0.342,0.553,0.618,0.78949446,3,4.333333333,4,"Craft, M. E. (2010). Ecology of infectious diseases in Serengeti lions. In D. MacDonald, & A. Loveridge (Eds.), Biology and conservation of wild felids (pp. 263–281). Oxford, UK: Oxford University Press."
Network_773.graphml,lion_proximity_weighted,Mammalia,Panthera,leo,Proximity,Males resident in a non-natal pride,,"Serengeti National Park, Tanzania",free-ranging,all_occurence_sampling,2213 hours,NA,NA,NA,TRUE,1,13,22,0.282,6,3.385,1.332,0.394,0.567,0.154,0.122,0.792,0.045,0.034,0.756,0.47,-0.306,0.093,0.084,0.266161616,0.127,0.132,0.494949495,0.423,0.138,0.328,0.274,0.592,0.463,0.681740711,3,4.333333333,4,"Craft, M. E. (2010). Ecology of infectious diseases in Serengeti lions. In D. MacDonald, & A. Loveridge (Eds.), Biology and conservation of wild felids (pp. 263–281). Oxford, UK: Oxford University Press."
Network_774.graphml,lion_proximity_weighted,Mammalia,Panthera,leo,Proximity,"1: Direct neighbour, 2: 2nd tier neighbour, 3: 3rd tier",,"Serengeti National Park, Tanzania",free-ranging,all_occurence_sampling,2213 hours,NA,NA,NA,TRUE,1,13,78,1,12,12,0,0,NA,0.154,0.011,0.071,0.013,0.004,0.308,0.181,,0,0,0,0.016,0.016,0.047979798,1,0.79,1,0,0,NA,1,1,13,1,"Craft, M. E., Volz, E., Packer, C., & Meyers, L. A. (2009). Distinguishing epidemic waves from disease spillover in a wildlife population. Proceedings of the Royal Society of London B: Biological Sciences, 276, 1777–1785."
Network_775.graphml,cottontoptamarin_grooming_weighted,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",captive,Focal_sampling,18 months,NA,2 minutes,"Infant carrying time, Sex (look at paper figure 1 for this)",TRUE,1,13,36,0.462,9,5.538,2.469,0.446,-0.844,0.154,0.089,0.578,0.028,0.02,0.714,0.345,-0.249,0.056,0.076,0.228787879,0.123,0.119,0.401515152,0.544,0.163,0.606,0.128,0.6,0.213,0.527821763,3,4.333333333,3,"Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758"
Network_776.graphml,cottontoptamarin_grooming_weighted,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",captive,Focal_sampling,18 months,NA,2 minutes,"Infant carrying time, Sex (look at paper figure 1 for this)",TRUE,1,13,36,0.462,10,5.538,2.341,0.423,0.399,0.154,0.089,0.578,0.028,0.028,1,0.387,-0.287,0.054,0.069,0.23989899,0.075,0.106,0.393939394,0.662,0.108,0.558,0.164,0.664,0.247,0.50004167,3,4.333333333,3,"Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758"
Network_777.graphml,cottontoptamarin_grooming_weighted,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",captive,Scan_sampling,11 years,NA,10 minutes,"Sex, Age, Rearing status",TRUE,1,8,21,0.75,7,5.25,1.09,0.208,0.11,0.25,0.081,0.324,0.048,0.036,0.75,0.339,-0.361,0.042,0.032,0.096825397,0.113,0.104,0.333333333,0.771,0.215,0.734,0.023,0.499,0.046,0.523809524,2,4,2,"Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758"
Network_778.graphml,cottontoptamarin_grooming_weighted,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",captive,Scan_sampling,11 years,NA,10 minutes,"Sex, Age, Rearing status",TRUE,1,8,15,0.536,7,3.75,1.561,0.416,1.239,0.25,0.14,0.56,0.067,0.051,0.761,0.522,-0.502,0.077,0.123,0.388888889,0.138,0.13,0.30952381,0.714,0.245,0.529,0.098,0.498,0.197,0.6,2,4,2,"Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758"
Network_779.graphml,arabianbabbler_food_sharing_weighted,Aves,Argya,squamiceps,dominance,"brief aggressive and ritualised chases, usually towards a lower ranked individual. ",frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,24,0.533,7,4.8,1.72,0.358,-0.878,0.2,0.118,0.59,0.042,0.03,0.714,0.391,-0.2,0.067,0.073,0.243055556,0.116,0.095,0.24537037,0.551,0.182,0.594,0.138,0.43,0.321,0.708333333,2,5,3,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
Network_780.graphml,arabianbabbler_foraging_weighted,Aves,Argya,squamiceps,food_sharing,Allofeeding- act of an individual feeding another individual within the group. Can be an act of parental care or a dominance display,frequency,"Sheizaf Nature Reserve, Central Arava, Israel",free-ranging,focal_sampling,3 years,NA,3-4 hours,"Age, age_class, breeding_status",TRUE,1,10,28,0.622,8,5.6,1.356,0.242,0.374,0.2,0.125,0.625,0.036,0.029,0.806,0.44,-0.427,0.047,0.045,0.14212963,0.107,0.148,0.400462963,0.636,0.159,0.587,0.076,0.469,0.162,0.607142857,2,5,2,"Dragi?, N., Keynan, O., & Ilany, A. (2021). Multilayer social networks reveal the social complexity of a cooperatively breeding bird. iScience, 24(11), 103336. https://doi.org/10.1016/j.isci.2021.103336"
