source,target ,weight
131,117,29.7
131,112,44.9
131,97,50.3
131,126,120.7
131,104,73.06667
117,112,31.76667
117,97,30.6
117,126,45.4
117,104,51.7
112,97,57.26667
112,126,64.2
112,104,38.53333
97,126,59.46667
97,104,37.73333
126,104,68.96667
109,143,40.5
109,137,39.43333
109,116,27.83333
109,123,37.13333
109,130,27.9
143,137,23.6
143,116,33.7
143,123,33.2
143,130,23.26667
137,116,8.066667
137,123,30.5
137,130,10.53333
116,123,23.46667
116,130,15.3
123,130,42.13333
136,101,53.3
136,127,198.2667
136,142,184.8667
136,121,192.8
136,108,117.1667
101,127,47.56667
101,142,44.9
101,121,65.33333
101,108,49.53333
127,142,263.3
127,121,269.8667
127,108,185.8333
142,121,230.7
142,108,216.9333
121,108,202.2667
138,140,223.4
138,120,282.8
138,106,212.7
138,110,228.3333
138,99,207.9333
140,120,330.1
140,106,191.7667
140,110,256.6333
140,99,268.3667
120,106,249.4667
120,110,336.5333
120,99,253.5
106,110,316.0333
106,99,150.8667
110,99,176.9667
111,103,29.93333
111,118,17.73333
111,132,39.6
111,102,40.46667
111,122,37.33333
103,118,26.36667
103,132,20.5
103,102,34.36667
103,122,21.56667
118,132,28.83333
118,102,29.56667
118,122,13.8
132,102,63.36667
132,122,49.8
102,122,31.83333
125,113,87.33333
125,144,55
125,134,80.93333
125,129,54.33333
125,115,40.36667
113,144,96.3
113,134,80.1
113,129,70.56667
113,115,71.23333
144,134,70.2
144,129,78.83333
144,115,54.63333
134,129,60.53333
134,115,63.26667
129,115,38.06667
139,128,31.5
139,107,45.63333
139,124,53.46667
139,133,14.6
139,100,23.03333
128,107,27.83333
128,124,18.3
128,133,18.7
128,100,21.63333
107,124,37.9
107,133,31.03333
107,100,25.8
124,133,33.83333
124,100,14.66667
133,100,26.93333
141,114,23.06667
141,105,61.7
141,119,43.6
141,135,16.43333
141,98,12.73333
114,105,18.46667
114,119,26.53333
114,135,21.6
114,98,15.46667
105,119,36
105,135,6.5
105,98,40.53333
119,135,18.03333
119,98,11.6
135,98,41.6
