source,target,weight
34,60,9.466666667
34,7,12.3
34,19,32.2
34,71,17.7
34,46,9.166666667
60,7,11.6
60,19,18.5
60,71,51.83333333
60,46,16.9
7,19,11.46666667
7,71,11.96666667
7,46,1.633333333
19,71,20.36666667
19,46,6.2
71,46,15.06666667
57,32,30.13333333
57,20,56.06666667
57,84,51.06666667
57,48,73.06666667
57,70,78.9
32,20,16.4
32,84,46.2
32,48,50.2
32,70,50.96666667
20,84,53.76666667
20,48,75.6
20,70,54.3
84,48,155.9
84,70,124.2333333
48,70,128.4333333
95,43,35.5
95,33,34.8
95,58,70.26666667
95,67,45.26666667
95,83,51.76666667
43,33,83.43333333
43,58,109.9333333
43,67,108.4666667
43,83,70.5
33,58,144.9333333
33,67,263.9333333
33,83,165.7
58,67,206.8666667
58,83,225.0333333
67,83,271.4333333
82,69,105.4
82,96,29.53333333
82,12,72.33333333
82,44,31.6
82,56,46.43333333
69,96,16.96666667
69,12,29.3
69,44,19.93333333
69,56,140.0333333
96,12,38.86666667
96,44,27.96666667
96,56,18.3
12,44,40.83333333
12,56,24.26666667
44,56,21.7
10,23,24.36666667
10,59,20.26666667
10,79,11.16666667
10,93,9.333333333
10,68,12.2
23,59,15.46666667
23,79,48.7
23,93,30.76666667
23,68,47.16666667
59,79,10.4
59,93,18.96666667
59,68,19.43333333
79,93,36.5
79,68,38.7
93,68,39.36666667
9,72,21.8
9,21,12.73333333
9,91,56.9
9,35,10.63333333
9,80,9.666666667
72,21,16.66666667
72,91,20.93333333
72,35,16.86666667
72,80,35.8
21,91,17.86666667
21,35,14.43333333
21,80,10.26666667
91,35,35.96666667
91,80,56.1
35,80,49.96666667
31,92,18.2
31,11,26.93333333
31,47,31.03333333
31,81,30
31,22,31.2
92,11,90.3
92,47,30.96666667
92,81,45.66666667
92,22,49.23333333
11,47,15.63333333
11,81,20.26666667
11,22,17.76666667
47,81,23.66666667
47,22,28.8
81,22,39.83333333
94,36,99.6
94,24,20.13333333
94,55,40.93333333
94,8,39.7
94,45,1.1
36,24,44.1
36,55,19.26666667
36,8,7.533333333
36,45,0
24,55,21.63333333
24,8,7.133333333
24,45,13.96666667
55,8,35.13333333
55,45,14.36666667
8,45,19.3
