focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
bob,bj,0,male,female,12.28747433,6.080766598
booboo,bj,0,male,female,31.58110883,6.080766598
brandon,bj,0.083333333,male,female,7.58110883,6.080766598
brenda,bj,0,female,female,17.94387406,6.080766598
genny,bj,0,female,female,16.55578371,6.080766598
gerard,bj,0.083333333,male,female,11.2991102,6.080766598
girly,bj,0,female,female,31.58110883,6.080766598
goliath,bj,0,male,female,21.86173854,6.080766598
gonzaga,bj,0,male,female,5.582477755,6.080766598
ilse,bj,0.076923077,female,female,11.23613963,6.080766598
ingrid,bj,0.076923077,female,female,22.58179329,6.080766598
innocentia,bj,0,female,female,6.557152635,6.080766598
josephine,bj,0.4,female,female,30.58179329,6.080766598
lionel,bj,0.222222222,male,female,13.58247775,6.080766598
pal,bj,0,male,female,32.58042437,6.080766598
regina,bj,0,female,female,7.58110883,6.080766598
renata,bj,0,female,female,16.55578371,6.080766598
rita,bj,0.125,female,female,30.58179329,6.080766598
rusty,bj,0.083333333,male,female,6.798083504,6.080766598
tara,bj,0,male,female,30.58179329,6.080766598
tobar,bj,0,male,female,31.58110883,6.080766598
booboo,bob,0.4,male,male,31.58110883,12.28747433
brandon,bob,0,male,male,7.58110883,12.28747433
brenda,bob,0,female,male,17.94387406,12.28747433
genny,bob,0,female,male,16.55578371,12.28747433
gerard,bob,0,male,male,11.2991102,12.28747433
girly,bob,0,female,male,31.58110883,12.28747433
goliath,bob,0,male,male,21.86173854,12.28747433
gonzaga,bob,0,male,male,5.582477755,12.28747433
ilse,bob,0,female,male,11.23613963,12.28747433
ingrid,bob,0,female,male,22.58179329,12.28747433
innocentia,bob,0,female,male,6.557152635,12.28747433
josephine,bob,0.4,female,male,30.58179329,12.28747433
lionel,bob,0,male,male,13.58247775,12.28747433
pal,bob,0,male,male,32.58042437,12.28747433
regina,bob,0,female,male,7.58110883,12.28747433
renata,bob,0,female,male,16.55578371,12.28747433
rita,bob,0,female,male,30.58179329,12.28747433
rusty,bob,0.142857143,male,male,6.798083504,12.28747433
tara,bob,0,male,male,30.58179329,12.28747433
tobar,bob,0,male,male,31.58110883,12.28747433
brandon,booboo,0,male,male,7.58110883,31.58110883
brenda,booboo,0,female,male,17.94387406,31.58110883
genny,booboo,0,female,male,16.55578371,31.58110883
gerard,booboo,0,male,male,11.2991102,31.58110883
girly,booboo,0.285714286,female,male,31.58110883,31.58110883
goliath,booboo,0,male,male,21.86173854,31.58110883
gonzaga,booboo,0,male,male,5.582477755,31.58110883
ilse,booboo,0,female,male,11.23613963,31.58110883
ingrid,booboo,0,female,male,22.58179329,31.58110883
innocentia,booboo,0,female,male,6.557152635,31.58110883
josephine,booboo,0,female,male,30.58179329,31.58110883
lionel,booboo,0.2,male,male,13.58247775,31.58110883
pal,booboo,0,male,male,32.58042437,31.58110883
regina,booboo,0,female,male,7.58110883,31.58110883
renata,booboo,0,female,male,16.55578371,31.58110883
rita,booboo,0,female,male,30.58179329,31.58110883
rusty,booboo,0,male,male,6.798083504,31.58110883
tara,booboo,0.4,male,male,30.58179329,31.58110883
tobar,booboo,0,male,male,31.58110883,31.58110883
brenda,brandon,0.8,female,male,17.94387406,7.58110883
genny,brandon,0,female,male,16.55578371,7.58110883
gerard,brandon,0,male,male,11.2991102,7.58110883
girly,brandon,0,female,male,31.58110883,7.58110883
goliath,brandon,0,male,male,21.86173854,7.58110883
gonzaga,brandon,0.142857143,male,male,5.582477755,7.58110883
ilse,brandon,0.090909091,female,male,11.23613963,7.58110883
ingrid,brandon,0,female,male,22.58179329,7.58110883
innocentia,brandon,0,female,male,6.557152635,7.58110883
josephine,brandon,0,female,male,30.58179329,7.58110883
lionel,brandon,0,male,male,13.58247775,7.58110883
pal,brandon,0,male,male,32.58042437,7.58110883
regina,brandon,0,female,male,7.58110883,7.58110883
renata,brandon,0.2,female,male,16.55578371,7.58110883
rita,brandon,0,female,male,30.58179329,7.58110883
rusty,brandon,0,male,male,6.798083504,7.58110883
tara,brandon,0,male,male,30.58179329,7.58110883
tobar,brandon,0,male,male,31.58110883,7.58110883
genny,brenda,0,female,female,16.55578371,17.94387406
gerard,brenda,0.066666667,male,female,11.2991102,17.94387406
girly,brenda,0,female,female,31.58110883,17.94387406
goliath,brenda,0,male,female,21.86173854,17.94387406
gonzaga,brenda,0,male,female,5.582477755,17.94387406
ilse,brenda,0.1875,female,female,11.23613963,17.94387406
ingrid,brenda,0,female,female,22.58179329,17.94387406
innocentia,brenda,0,female,female,6.557152635,17.94387406
josephine,brenda,0,female,female,30.58179329,17.94387406
lionel,brenda,0,male,female,13.58247775,17.94387406
pal,brenda,0,male,female,32.58042437,17.94387406
regina,brenda,0,female,female,7.58110883,17.94387406
renata,brenda,0.1,female,female,16.55578371,17.94387406
rita,brenda,0,female,female,30.58179329,17.94387406
rusty,brenda,0,male,female,6.798083504,17.94387406
tara,brenda,0,male,female,30.58179329,17.94387406
tobar,brenda,0,male,female,31.58110883,17.94387406
gerard,genny,0.125,male,female,11.2991102,16.55578371
girly,genny,0.428571429,female,female,31.58110883,16.55578371
goliath,genny,0,male,female,21.86173854,16.55578371
gonzaga,genny,0.6,male,female,5.582477755,16.55578371
ilse,genny,0,female,female,11.23613963,16.55578371
ingrid,genny,0.111111111,female,female,22.58179329,16.55578371
innocentia,genny,0,female,female,6.557152635,16.55578371
josephine,genny,0,female,female,30.58179329,16.55578371
lionel,genny,0.2,male,female,13.58247775,16.55578371
pal,genny,0.333333333,male,female,32.58042437,16.55578371
regina,genny,0,female,female,7.58110883,16.55578371
renata,genny,0,female,female,16.55578371,16.55578371
rita,genny,0,female,female,30.58179329,16.55578371
rusty,genny,0,male,female,6.798083504,16.55578371
tara,genny,0,male,female,30.58179329,16.55578371
tobar,genny,0.1,male,female,31.58110883,16.55578371
girly,gerard,0.222222222,female,male,31.58110883,11.2991102
goliath,gerard,0,male,male,21.86173854,11.2991102
gonzaga,gerard,0,male,male,5.582477755,11.2991102
ilse,gerard,0,female,male,11.23613963,11.2991102
ingrid,gerard,0.090909091,female,male,22.58179329,11.2991102
innocentia,gerard,0.125,female,male,6.557152635,11.2991102
josephine,gerard,0,female,male,30.58179329,11.2991102
lionel,gerard,0,male,male,13.58247775,11.2991102
pal,gerard,0,male,male,32.58042437,11.2991102
regina,gerard,0,female,male,7.58110883,11.2991102
renata,gerard,0,female,male,16.55578371,11.2991102
rita,gerard,0,female,male,30.58179329,11.2991102
rusty,gerard,0,male,male,6.798083504,11.2991102
tara,gerard,0.142857143,male,male,30.58179329,11.2991102
tobar,gerard,0,male,male,31.58110883,11.2991102
goliath,girly,0.142857143,male,female,21.86173854,31.58110883
gonzaga,girly,0.5,male,female,5.582477755,31.58110883
ilse,girly,0.1,female,female,11.23613963,31.58110883
ingrid,girly,0,female,female,22.58179329,31.58110883
innocentia,girly,0,female,female,6.557152635,31.58110883
josephine,girly,0,female,female,30.58179329,31.58110883
lionel,girly,0,male,female,13.58247775,31.58110883
pal,girly,0,male,female,32.58042437,31.58110883
regina,girly,0,female,female,7.58110883,31.58110883
