source,target,weight,Age_Giver,Age_Recipient
Rirmin,Acracc,1,137,NA
Rulaub,Acracc,1,NA,NA
Alialo,Acracc,1,143,NA
Rulaub,Acracc,1,NA,NA
Ulerlc,Acracc,1,65,NA
Zikaik,Acracc,1,58,NA
Asmast,Acracc,1,24,NA
Rulaub,Acracc,1,NA,NA
Vecaer,Acracc,1,139,NA
Asmast,Acracc,1,49,NA
Memael,Acracc,1,30,NA
Asmast,Acracc,1,57,NA
Ulerlc,Acracc,1,106,NA
Mupsum,Acracc,1,35,NA
Rirmin,Acracc,1,150,NA
Rulaub,Acracc,1,NA,NA
Asmast,Acracc,1,23,NA
Asmast,Acracc,1,35,NA
Ulerlc,Acracc,1,114,NA
Vecaer,Acracc,1,113,NA
Memael,Acracc,1,31,NA
Memael,Acracc,1,31,NA
Ulerlc,Acracc,1,106,NA
Valaar,Acracc,1,66,NA
Lehyei,Acracc,1,NA,NA
Asmast,Acracc,1,24,NA
Ulerlc,Acracc,1,114,NA
Myrayr,Acracc,1,NA,NA
Ulerlc,Acracc,1,105,NA
Ecmacz,Acracc,1,117,NA
Yeiaer,Acracc,1,107,NA
Asmast,Acracc,1,37,NA
Vecaer,Acracc,1,115,NA
Asmast,Acracc,1,24,NA
Rulaub,Acracc,1,NA,NA
Ulerlc,Acracc,1,65,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Mupsum,Acracc,1,22,NA
Samaar,Acracc,1,72,NA
Rulaub,Acracc,1,NA,NA
Toraox,Acracc,1,62,NA
Kateat,Acracc,1,NA,NA
Kateat,Acracc,1,NA,NA
Ulerlc,Acracc,1,105,NA
Ulerlc,Acracc,1,106,NA
Rulaub,Acracc,1,NA,NA
Myrayr,Acracc,1,NA,NA
Myrayr,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Toraox,Acracc,1,61,NA
Ecmacz,Acracc,1,105,NA
Rulaub,Acracc,1,NA,NA
Alialo,Acracc,1,116,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Ulerlc,Acracc,1,106,NA
Vecaer,Acracc,1,115,NA
Tssese,Acracc,1,15,NA
Rulaub,Acracc,1,NA,NA
Toraox,Acracc,1,63,NA
Tssese,Acracc,1,8,NA
Ulerlc,Acracc,1,106,NA
Ulerlc,Acracc,1,104,NA
Rulaub,Acracc,1,NA,NA
Pooxox,Acracc,1,160,NA
Rulaub,Acracc,1,NA,NA
Alialo,Acracc,1,131,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Rulaub,Acracc,1,NA,NA
Rirmin,Acracc,1,113,NA
Kateat,Acracc,1,NA,NA
Vecaer,Acracc,1,113,NA
Mupsum,Acracc,1,43,NA
Pooxox,Acracc,1,158,NA
Ulerlc,Acracc,1,67,NA
Psasse,Acracc,1,119,NA
Memael,Acracc,1,31,NA
Ulerlc,Acracc,1,106,NA
Rulaub,Acracc,1,NA,NA
Asmast,Acracc,1,49,NA
Rulaub,Acracc,1,NA,NA
Rirmin,Acracc,1,112,NA
