,SA,GA,GE,PA,PHI,GI,JO,NI,MI,SU,RA,CHE,DA
SA,0,0.05859375,0.1171875,0,0,0,0.1171875,0,0,0,0,0,0
GA,0.5859375,0,0,0,0,0.05859375,0,0,0,0,0,0,0
GE,0.1171875,0,0,0.05859375,0,0,0.234375,0.05859375,0,0.17578125,0,0,0
PA,0.05859375,0.17578125,0,0,0,0.05859375,0,0,0,0.52734375,0,0,0
PHI,0,0,0.1171875,0,0,0,0.05859375,0.05859375,0,0.1171875,0.05859375,0,0
GI,0.29296875,0,0,0,0,0,0,0.234375,0,0,0,0,0
JO,0.234375,0,0,0.1171875,0.29296875,0,0,0,0.64453125,0.05859375,0,0.05859375,0
NI,0.52734375,0.1171875,0,0,0,0,0,0,0,0.234375,0,0,0
MI,0,0,0,0,0.234375,0,0.3515625,0.05859375,0,0,0,0,0
SU,0.17578125,0.05859375,0.17578125,0,0.234375,0,0.234375,0,0,0,0.1171875,0,0
RA,0.29296875,0.1171875,0.3515625,0,0,0,0.17578125,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0
DA,0.1171875,0,0,0,0,0,0,0,0,0,0,0,0
