"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,1,2,4,4,5,1,1,2,1,6,2,2,16,2
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,2,1,2,0,1,1,0,5,3,3,7,0
"4",0,0,0,0,0,1,0,0,2,0,2,0,1,1,1
"5",0,1,0,2,0,4,0,0,1,2,1,0,0,9,0
"6",0,0,0,0,0,0,1,0,1,1,0,0,2,7,0
"7",0,0,0,0,0,0,0,1,2,9,6,1,1,8,3
"8",0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
"9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"11",0,0,0,0,0,0,0,0,0,1,0,1,0,6,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"14",0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
