Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
V1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1
V2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
V4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
V5,0,2,1,5,0,0,0,0,0,0,1,0,1,0,0
V6,0,0,3,0,0,0,1,0,3,0,0,0,0,2,2
V7,0,0,3,2,1,2,0,1,0,2,2,0,1,3,0
V8,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1
V9,2,0,0,2,3,1,0,0,0,0,1,1,1,0,1
V10,1,0,0,1,4,0,0,0,0,0,0,1,1,0,0
V11,4,0,0,0,1,0,0,0,3,1,1,2,1,4,0
V12,4,0,1,1,0,0,0,0,0,0,1,0,0,3,0
V13,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
V14,11,2,4,1,4,6,0,0,2,0,1,0,0,0,1
V15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
