"","FS1","FS2","FS3","FS4","FN5","FN6","FN7","MN8","MN9","MN10","MN11","MN12","MN13","MN14","MN15","MS16","MN17","MS18"
"FS1",0,0,0.008160534,0,0.008292682,0.003684861,0,0,0,0,0,0,0,0,0,0.001709694,0,0
"FS2",0.010063063,0,0.006318294,0.003151951,0.001571215,0.001571215,0,0,0,0,0,0,0,0,0,0.003419388,0,0
"FS3",0.001587932,0,0,0,0,0.001986492,0,0,0,0,0,0,0,0,0,0.001587932,0,0
"FS4",0.003279106,0,0.004763795,0,0.003229314,0.003567228,0,0,0,0,0,0,0,0,0,0,0,0
"FN5",0,0,0.004885088,0,0,0.005621562,0,0,0,0,0,0,0,0,0,0,0,0
"FN6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FN7",0,0,0.003226739,0.003219543,0.003287385,0.007598283,0,0,0,0,0,0,0,0,0,0,0,0
"MN8",0.004446755,0.005496771,0.001587932,0,0.003297156,0,0,0,0,0,0,0,0,0,0,0.001709694,0,0
"MN9",0.001859715,0.003142431,0.00875501,0,0.001859715,0,0.001859715,0,0,0,0.001859715,0,0,0,0,0.001709694,0,0
"MN10",0.001641632,0.001571215,0.004871195,0.00638384,0.001641632,0,0.001638807,0.002748385,0,0,0,0,0,0.003664458,0,0.005129082,0,0
"MN11",0.003591413,0.001571215,0,0,0,0.003879535,0.001638807,0,0,0,0,0,0,0,0,0.01099156,0,0
"MN12",0.003649413,0.003395922,0,0.001580736,0,0.001824707,0,0.005496771,0.001859715,0,0,0,0,0,0.001824707,0.005359107,0,0
"MN13",0.002055992,0,0,0,0.00370457,0.003972984,0,0,0,0,0.002055992,0,0,0,0,0,0,0
"MN14",0,0.003142431,0.004763795,0.003161472,0.003664458,0,0.003664458,0,0,0,0,0,0,0,0.001527106,0.006961311,0,0
"MN15",0.001527106,0.001527106,0.001587932,0.001527106,0.003054212,0,0,0,0,0,0,0,0,0,0,0.001527106,0,0
"MS16",0.006827451,0,0.008183183,0,0.003297156,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN17",0.003605311,0,0.003494873,0,0,0,0,0,0,0,0,0,0,0,0.003813883,0.001709694,0,0
"MS18",0,0.001934423,0.001934423,0,0.001934423,0,0,0,0,0,0,0,0,0.003766652,0,0,0,0
