"","FS1","FN2","FN3","FN4","FS5","FN6","FN7","FN8","FN9","FS10","MS11","MN12","MN13","MN14","MN15","MN16","MN17","MN18","MN19","MS20","MN21","MN22","MN23","MN24","MN25","MS26","MN27","MN28","MN29"
"FS1",0,0.754685337,0,0.097723751,0,0,1.179407177,0.39255559,0,0,0.189802291,0.203588144,0.248058421,0,0,0,0.355429477,0.046801871,0,0,0.290171607,0,0,0.045973488,0,0,3.016792693,0.135070603,0
"FN2",0,0,0,0,0,0,0,0,0,0,0,0,0.598122176,0,0,0,0,0,0,0,0,0,0,2.312466478,0,0,0,0,0
"FN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282099753,0,0,0,0,0,0,0,3.513159807,1.779845862,0,0,0,0,0.145412243
"FN4",0,0.650697176,0,0,0,0,0,0.803241569,0,0,0,0,0,0,0,0,0.66330149,1.735454443,0,0,1.074961269,0.121558813,0,0,0,0,0,0,0
"FS5",0,0,0,0,0,0,0,0,0.43525653,2.232805131,0,0.980230774,1.733362317,0,0,0,0.110133078,0,1.212082592,0,0,1.277811798,0.05978825,0.282736955,0,0.19784237,0,0,0
"FN6",0,2.497092989,0,1.254790321,0,0,0,1.503912294,0,0,0,3.222995057,0.435840964,0,0,0,0.32409942,0,0,2.38119611,0.032847914,0.996913967,0,2.011340128,0,0,4.26770608,0.110512311,0
"FN7",0,1.967213113,0,0,0,0,0,0,0,0,0.524530752,0,0.702445809,0,0.265065232,0,0,0,0,0,0,0,0,0,0,0,0.31269414,0,0
"FN8",0,0,0,0.257418663,0,0,0,0,0,0,0,1.681890557,0,0,0.123001231,0,0,0.842437335,0,0,0,0.53480302,0,0,0,0,0,0,0
"FN9",0,0,0,0.004767012,0.378876152,0,0,0,0,1.119647513,0,0.279058075,0.05638038,0,0.246002461,0,0,0,0,0,2.515925294,0,0,0,0,0,0.047137386,0,0
"FS10",0,0,0,0,4.509181942,0,0,0,1.317062315,0,1.85306972,1.695830631,0.179304385,0,0,0,0,0,0,0,1.843702241,0,0,0.036724995,0,0,0,0,0
"MS11",0.584391259,0,0.282099753,0,0,0,0,0,0.01353129,0,0,1.583698403,0,0,0,0.322164412,0,0.192299687,0,3.659504781,0,0,0.779738425,0.124128419,0,0,0,0,0
"MN12",2.288611545,1.277933839,0,2.115044409,0.198793043,0,0.678864531,0,0.995558536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN13",0,0,0.690854294,0,2.012287007,0.494908573,1.421119742,0,3.336145462,0,0,0,0,0,0,0,0,0,0,0,0,0.18983466,0,0,0,0,0,0,0
"MN14",0.119008263,0,13.56438482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988429752
"MN15",0.379937134,1.482662792,5.830842175,0.563072298,0,0.098543742,0.937542708,0.311603117,0.973513755,1.544610067,0.557605578,1.828618288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394775606,0,0
"MN16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524384713,0,0,0,0,1.195097093,0,0,3.185793562
"MN17",0,0,0,1.177452031,0,0,0,0,0,1.834089436,0,0,0,0,3.500989962,0,0,0.480580702,0,0,0.743398274,0,0,0,0,0,0,0,0
"MN18",0.505460217,0,0,0,1.322920366,0,0,0.394658862,0.914450995,3.607742797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS20",0,0,0.047245954,0,0,2.428555786,0,0,0.342792707,1.200596782,0,0,0,0,3.490918802,0,0,1.161419514,0,0,8.393879077,0,0,0,0,0.784282845,0,0,0
"MN21",2.613884554,0.076678898,0,0,0,2.266506077,0,0,0.47738797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN22",1.03286385,0,2.751199651,1.530924678,0,0,0.171878235,0,0,0.246989181,0,0,0,0,0,0,0.212288222,0,0,0,0,0,0,0,0,0,0,0,0
"MN23",0,0,0,0,0,0,0.306481673,0,1.560028366,0.807141373,0,0,0,0,0,0,0.097155905,0,0,0,0,0,0,0.176997931,0,0,0,0,0
"MN24",0,0,0,0,0,0,0,0,1.373911964,0,0,0,0.236466906,0,0,0,1.987401442,0,0,0,0.282736955,0,0,0,0.456055187,0,0,0,0
"MN25",0,0,0,2.280275933,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692068082,0,0,0,0,0,0.498812351,0,0,0,0,0
"MS26",0,0,0,0,0,0,0,0,0,0,1.828095732,0,0,0,0.027955987,0,0,0,0,0.498906848,0,0.673606858,0,0.464499481,0,0,0,0,0
"MN27",0.038299128,0,2.330354513,0.517220833,0,0,0,0,3.511735245,1.181337454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN28",0,0,0.556654616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN29",0,0,3.831980567,0,0,0,0,0,0,0,0,0,0,1.371900827,0,2.048390677,0,0,0,0,0,0,0,0,0,0,0,0,0
