,GNF016,GNF031,GNF041,GNF049,GNF050,GNF053,GNM002,GNM012,GNM038,GNM039,GNM046,GNM052
GNF016,1,0,0,0,0,0,0,0,0,0,0,0
GNF031,0.05,1,0,0,0,0,0,0,0,0,0,0
GNF041,0,0,1,0,0,0,0,0,0,0,0,0
GNF049,0.06,0.07,0.08,1,0,0,0,0,0,0,0,0
GNF050,0.1,0,0,0,1,0,0,0,0,0,0,0
GNF053,0,0.12,0.06,0.06,0,1,0,0,0,0,0,0
GNM002,0.26,0.06,0.07,0.11,0.1,0.16,1,0,0,0,0,0
GNM012,0.16,0.17,0,0.17,0.26,0.17,0,1,0,0,0,0
GNM038,0.11,0.11,0.07,0.07,0.22,0.28,0,0,1,0,0,0
GNM039,0.39,0.05,0.12,0.16,0.15,0.16,0,0,0.06,1,0,0
GNM046,0.06,0.25,0.07,0,0.13,0.17,0.06,0,0,0.18,1,0
GNM052,0.16,0.11,0,0.18,0.16,0.26,0,0.05,0.06,0.05,0.11,1
