,003C,03DA,097B,0A50,154B,1C27,1E4A,1F3F,2E+69,2317,2325,303F,3106,3129,3524,3B3C,3D45,426B,443B,4B08,521E,5234,5741,5750,6305,6450,6473,6A0F,6D2C,6E7F,7075,734A,7606,774E,7823,7B2F,842
003C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362339687,0.229368349,0,0,0,0,0,0,0,0,0,0,0.995239947,0.762631851,0.310877516,0,0.035457507,0,0,0,0,0,0
03DA,0,1,0,0,0,0,0,0,0,0.220743414,0,0,0,0,0,0,0,0,0,0.386352119,0,0,0.144782115,0.395143184,0,0,0,0,0,0,0,0,0.001842914,0,0,0,0
097B,0,0,1,0,0,0,0,0,0.000530786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444198,0,0,0,0,0,0,0,0,1.52117E-05,0,0
0A50,0,0,0,1,0,0,0,0,0,0,0.118475394,0,0,0,0.035567703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36055243,0,0,0,0,0,0
154B,0,0,0,0,1,0,0.126869159,0,0,0,0,0,0.032173937,0.302238256,0,0,0.907413827,0,0,0,0,0,0,0,0.07047267,0,0,0,0,0.25707788,0,0,0.343225442,0,0,0,0
1C27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1E4A,0,0,0,0,0.054278289,0,1,0.851419244,0,0,0,0,0,0.119447901,0,0,0.217951411,0,0,0,0,0,0,0,0.491713926,0,0,0,0,0,0,0,0.236143077,0,0,0,0
1F3F,0,0,0,0,0,0,0.348524887,1,0,0,0,0,0,0.054703985,0,0,0.003998001,0,0,0,0,0,0,0,0.367122397,0,0,0,0,0,0,0,0.138941766,0,0,0,0
2E+69,0,0,0.125,0,0,0,0,0,1,0,0,0.083606307,0,0,0,0,0,0,0,0,0.097291857,1,0,0,0,0.091025475,0,0,0,0,0,0.022117355,0,0,0.107464961,0,0.263324668
2317,0,0.344238587,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.70348659,0,0,0.849278795,0.975482953,0.007566258,0,0,0,0,0,0,0,0.066278398,0,0,0,0
2325,0,0,0,0.697405771,0,0,0,0,0,0,1,0,0,0,0.070793441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593768593,0,0,0,0,0,0
303F,0,0,0,0,0,0,0,0,0.139876369,0,0,1,0,0,0,0,0,0.453703704,0,0,0.868446906,0.081854043,0,0,0,0.812458294,0,0,0,0,0,0.829324432,0,0,0.854837314,0,0.912738392
3106,0,0,0,0,0.013224633,0,0,0,0,0,0,0,1,0.382929215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25657241,0,0,0.262496393,0,0,0,0
3129,0,0,0,0,0.309005686,0,0.285446994,0.319356371,0,0,0,0,0.952480549,1,0,0,0.591462093,0,0,0,0,0,0,0,0.080186101,0,0,0,0,0.475474274,0,0,0.662482678,0,0,0,0
3524,0.665598693,0,0,0.443723455,0,0,0,0,0,0,0.150034874,0,0,0,1,0.98003661,0,0,0,0,0,0,0,0,0,0,0.979291251,0.999481999,0.718140441,0,0.495143666,0,0,0.248035725,0,0,0
3B3C,0.172803255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401942726,1,0,0,0,0,0,0,0,0,0,0,0.21998425,0.538634177,0.047768932,0,0.220790023,0,0,0,0,0,0
3D45,0,0,0,0,0.363001813,0,0.203794754,0.00913242,0,0,0,0,0,0.231426603,0,0,1,0,0,0,0,0,0,0,0.060315399,0,0,0,0,0.048582878,0,0,0.274405509,0,0,0,0
426B,0,0,0,0,0,0,0,0,0,0,0,0.004030363,0,0,0,0,0,1,0,0,0.000161801,0,0,0,0,0.0021875,0,0,0,0,0,0,0,0,0.010248902,0,0
443B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001502771,0,0,0,0,0,0,0
4B08,0,0.463799228,0,0,0,0,0,0,0,0.541540264,0,0,0,0,0,0,0,0,0,1,0,0,0.564426517,0.856379639,0,0,0,0,0,0,0,0,0.045665856,0,0,0,0
521E,0,0,0,0,0,0,0,0,0.090268665,0,0,0.481613322,0,0,0,0,0,0.01010101,0,0,1,0.132478632,0,0,0,0.677489188,0,0,0,0,0,0.742754893,0,0,0.560403837,0,0.391538236
5234,0,0,0,0,0,0,0,0,0.055201699,0,0,0.002700768,0,0,0,0,0,0,0,0,0.007882024,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007007373,0,0.05920149
5741,0,0.147651273,0,0,0,0,0,0,0,0.555393464,0,0,0,0,0,0,0,0,0,0.479493765,0,0,1,0.600979562,0,0,0,0,0,0,0,0,0.084877824,0,0,0,0
5750,0,0.350569106,0,0,0,0,0,0,0,0.554966841,0,0,0,0,0,0,0,0,0,0.632905334,0,0,0.522825269,1,0,0,0,0,0,0,0,0,0.013722127,0,0,0,0
6305,0,0,0,0,0.028896331,0,0.471264142,0.859552553,0,0.007584748,0,0,0,0.032159111,0,0,0.061822531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.185499657,0,0,0,0
6450,0,0,0.088839647,0,0,0,0,0,0.077304013,0,0,0.412415378,0,0,0,0,0,0.125,0,0,0.620127404,0,0,0,0,1,0,0,0,0,0,0.582518519,0,0,0.554547408,0,0.443751944
6473,0.386588236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207079045,0.113421136,0,0,0,0,0,0,0,0,0,0,1,0.588211915,0.005046391,0,0.009678272,0,0,0,0,0,0
6A0F,0.409217091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291955893,0.383631536,0,0,0,0,0,0,0,0,0,0,0.812553203,1,0.041242363,0,0.009560907,0,0,0,0,0,0
6D2C,0.137886956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173399044,0.028122956,0,0,0,0,0,0,0,0,0,0,0.005762274,0.034090909,1,0,0,0,0,0.642568513,0,0,0
6E7F,0,0,0,0,0.336740158,0,0,0,0,0,0,0,0.817637368,0.609172359,0,0,0.15907797,0,0.012066365,0,0,0,0,0,0,0,0,0,0,1,0,0,0.372054051,0,0,0,0
7075,0.011306685,0,0,0.780828268,0,0,0,0,0,0,0.218447435,0,0,0,0.085953142,0.093451892,0,0,0,0,0,0,0,0,0,0,0.007945186,0.005681818,0,0,1,0,0,0,0,0,0
734A,0,0,0,0,0,0,0,0,0.021131231,0,0,0.473598977,0,0,0,0,0,0,0,0,0.764850577,0,0,0,0,0.655333333,0,0,0,0,0,1,0,0,0.545682548,0.408866321,0.253913482
7606,0,0.007146909,0,0,0.349126559,0,0.561446718,0.80700423,0,0.164821354,0,0,0.649601968,0.659114561,0,0,0.697738745,0,0,0.14752246,0,0,0.322764101,0.059981256,0.460176624,0,0,0,0,0.288921094,0,0,1,0,0,0,0
774E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02268731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243416993,0,0,0,0,1,0,0,0
7823,0,0,0.005194805,0,0,0,0,0,0.155835602,0,0,0.740931327,0,0,0,0,0,1,0,0,0.875871443,0.184078309,0,0,0,0.946889699,0,0,0,0,0,0.828224844,0,0,1,0,0.794869931
7B2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046641047,0,0,0,1,0
842,0,0,0,0,0,0,0,0,0.145546048,0,0,0.301543437,0,0,0,0,0,0,0,0,0.233250467,0.592773893,0,0,0,0.288808557,0,0,0,0,0,0.146893651,0,0,0.302973849,0,1
