,013C,0A37,1A7B,1B6D,1E4A,2E+69,203,2317,2325,271,276F,285B,2A04,3129,3209,3A3D,3B0B,3B3C,3B4F,4220,431D,435,443B,4835,4A2D,4B08,4C3A,5234,5741,5750,592B,5B48,6217,6878,6D2C,6E5A,7075,754D,7610,842
013C,1,0,0,0,0.726184926,0,0,0,0,0,0,0,0,0,0,0,0.043434316,0,0,0,0.017169523,0,0,0,0,0,0,0,0,0,0,0.63154961,0,0,0,0,0,0,0,0
0A37,0,1,0,0,0,0,0,0,0,0,0,0,0.074694231,0,0,0,0,0,0,0,0,0,0.02347181,0.138933226,0,0,0,0,0,0,0,0,0.017067004,0,0,0,0,0,0,0
1A7B,0,0,1,0,0,0.115031622,0,0,0.037525529,0.115479228,0.332562264,0,0,0,0.002503498,0,0.049575987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018139333,0,0,0.74950787
1B6D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041171089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1E4A,0.20839744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.004084372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049355469,0,0,0,0,0,0,0,0
2E+69,0,0,0.087419373,0,0,1,0,0,0,0.413773377,0,0.113256734,0,0,0,0,0.301877354,0,0.900423001,0.100516796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012162162,0,0,0,0,0,0.377115341
203,0,0,0,0,0,0,1,0.021318797,0.091588146,0,0.017465401,0,0,0,0.124590905,0,0,0,0,0,0,0,0,0,0,0.042620232,0,0,0,0,0,0,0,0,0.077213045,0,0,0,0,0
2317,0,0,0,0,0,0,0.009219991,1,0,0,0.005275496,0,0,0,0.037997001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070129585,0,0,0,0,0
2325,0,0,0.070629582,0,0,0,0.465879484,0,1,0,0.439600007,0,0,0,0.392838774,0,0,0.993457041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021225439,0,0.836440149,0,0,0
271,0,0,0.196883896,0,0,0.92827879,0,0,0,1,0.014710635,0.958554111,0,0,0,0,0.675220113,0,0.557823129,0,0.484404759,0,0,0,0,0,0,0,0,0,0,0,0,0.644953366,0,0,0,0,0,0.519898527
276F,0,0,0.432712682,0,0,0,0.061415744,0.042894009,0.303895682,0.01122669,1,0,0,0,0.19989419,0,0,0.455227064,0,0,0,0,0,0,0,0.000354858,0,0,0,0,0,0,0,0,0.107631767,0,0.498645201,0,0,0.034269575
285B,0,0,0,0,0,0.044578172,0,0,0,0.168174048,0,1,0,0,0,0,0.129996601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A04,0,0.540554833,0,0,0,0,0,0,0,0,0,0,1,0,0,0.607687665,0,0,0,0,0,0,0.417441376,0.451919005,0,0,0,0,0.00561208,0,0,0,1,0,0,0,0,0,0,0
3129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59590748,0,0,0,0,0,0,0,0,0,0.153451116,0
3209,0,0,0.006834331,0,0,0,0.919198961,0.64819357,0.569774766,0,0.419393986,0,0,0,1,0,0,0.986365668,0,0,0,0,0,0,0,0.945126822,0,0,0,0.696889525,0,0,0,0,0.799939559,0,0.334127014,0,0,0
