,0D12,2416,2672,2930,3E+24,307E,309,3637,3675,3B07,3C46,3F0A,3F26,5E+12,5316,5453,5512,571E,5B27,6255,6875,6A3A,6D0F,715,757D,7B5F,7C4F
0D12,1,0,0,0,0,0,0,0,0.134243816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740940486
2416,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094514048,0,0,0,0,0,0,0,0,0,0
2672,0,0,1,0,0,0,0.536124013,0,0,0,0,1,0,0.677859718,0,0,0,0,0,0,0,0,0,0,0,0.037211494,0
2930,0,0,0,1,0,0.522291949,0,0.478617291,0,0,0.249715046,0,0.028738649,0,0.147328092,0,0,0.539917661,0,0.234842946,0.707321645,0,0,0.033270621,0.199823988,0,0
3E+24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987179487,0,0,0,0,0,0,0,0
307E,0,0,0,0.391416008,0,1,0,0.235599255,0,0,0,0,0,0,0,0,0,0.361297541,0,0,0.368540805,0,0,0,0.191785164,0,0
309,0,0,0.224624758,0,0,0,1,0,0,0,0,0.288118504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294962139,0
3637,0,0,0,0.905597218,0,0.594833414,0,1,0.156131124,0,0.57343374,0,0.06698543,0,0.974659521,0,0,0.668985367,0,1,0.883570268,2.36934E-05,0.028093616,0.976707044,0.374166144,0,0
3675,0.304812429,0,0,0,0,0,0,0.011085214,1,0,0.001059843,0,0,0,0,0,0,0,0,0,0,0,0,0.002173869,0,0,0.291599176
3B07,0,0,0,0,0,0,0,0,0,1,0.021405019,0,0.321849962,0,0,0.302330763,0,0.000243832,0,0,0,0,0,0,0.083619912,0,0
3C46,0,0,0,0.263909985,0,0,0,0.320293156,0.0083378,0.116626631,1,0,0.619011631,0,0.546775448,0.576227615,0,0.206153625,0,0.928768958,0.184989849,0,0,0.710033619,0.008093054,0,0
3F0A,0,0,0.197327852,0,0,0,0.135696041,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F26,0,0,0,0.012809036,0,0,0,0.015779155,0,0.739561934,0.261058473,0,1,0,0,0.922735474,0,0.108021186,0,0,0.028572531,0,0,0,0.123818749,0,0
5E+12,0,0,0.14142397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5316,0,0,0,0.100941962,0,0,0,0.352933117,0,0,0.354473743,0,0,0,1,0,0,0.104890564,0,0.823058729,0.178544127,0,0,0.926858065,0,0,0
5453,0,0,0,0,0,0,0,0,0,0.281355662,0.098420436,0,0.373705465,0,0,1,0,0.059940293,0,0,0,0,0,0,0.06819017,0,0
5512,0,0.979277628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333833316,0.110674362,0,0,0,0
571E,0,0,0,0.895185988,0,0.799328864,0,0.586213297,0,0.00208424,0.323419057,0,0.401832062,0,0.253825929,0.550556984,0,1,0,0,0.935487024,0,0,0.043837933,0.395448361,0,0
5B27,0,0,0,0,0.07917229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6255,0,0,0,0.030186309,0,0,0,0.067933783,0,0,0.112961142,0,0,0,0.154410612,0,0,0,0,1,0,0,0,0.285817483,0,0,0
6875,0,0,0,0.916235904,0,0.637016507,0,0.604901632,0,0,0.226739479,0,0.083040312,0,0.337559046,0,0,0.730873783,0,0,1,0,0,0.09807814,0.284166227,0,0
6A3A,0,0,0,0,0,0,0,2.38445E-05,0,0,0,0,0,0,0,0,0.356369671,0,0,0,0,1,0.45538393,0,0,0,0
6D0F,0,0,0,0,0,0,0,0.011585387,0,0,0,0,0,0,0,0,0.048412835,0,0,0,0,0.18660365,1,0,0.066310329,0,0
715,0,0,0,0.01277561,0,0,0,0.198215838,0.006213737,0,0.257981479,0,0,0,0.519454825,0,0,0.010152782,0,0.853841038,0.029073853,0,0,1,0,0,0
757D,0,0,0,0.193333186,0,0.247598803,0,0.191327139,0,0.417099321,0.007409009,0,0.268778856,0,0,0.365492299,0,0.230761218,0,0,0.212246672,0,0.082222442,0,1,0,0
7B5F,0,0,0.024348734,0,0,0,0.460652237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7C4F,0.78743087,0,0,0,0,0,0,0,0.136482516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
