,by,bz,dc,dv,gv,il,ks,mw,oh,oo,qa,qr,sq,vd,xt,zb
by,0,0,0,0.519708583,0,0,0,0,2.977228796,0,0,0,0,0,0,0
bz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.260799262,6.606867868
dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dv,0.084368409,4.338175357,0,0,0,3.10401291,0,2.215827338,6.688224678,0,2.855970455,14.68993932,0,0.135266618,11.80908486,0.072249985
gv,0,0,0,0.576662949,0,9.164285714,0,0,3.2,0,0,0,0,2.831027492,1.85,0
il,0,0,0,4.080087568,0,0,0,2.784172662,0,3.042373808,0,0,8.783775889,0,0,1.329399723
ks,0,4.50402476,0,0,0,1.076787699,0,0,0,10.39189189,0,6.952892334,0,0,0,0
mw,0,1.024976437,0,0,0,0.764171916,0,0,0,1.597122302,9.215077085,2.070984789,0,0,0,0
oh,3.712696243,0,0,4.057998529,0,0,0,0.381294964,0,0,5.060091859,14.58258945,0,1.263699334,4.426948282,0
oo,0,0,0,0,0,1.708966284,0,8.669064748,4.066286361,0,0,0,0,0,10.13135331,0
qa,0,0,0,10.74535673,0,0.514079289,3.324324324,1.266828076,25.94926563,0,0,0,0,0,3.897063134,3.170786667
qr,0,0,0,6.940164431,0,0,0,0.510791367,15.1525051,0,0,0,0,0.4784689,0,0
sq,0,0,0,0,0,26.83897324,0,0,0,0,0,0,0,2.41401285,0,0
vd,0,0,0,0.598020836,4.186030312,0,0,0,5.98257545,0,0,0,7.066980092,0,0,0
xt,20.07254858,33.44091671,0,10.44162688,0,0.111590278,0,0,0,0,0,0,0,0,0,0
zb,0,9.421918121,0,0,0,1.531699681,2.433228159,4.083628924,0,0,9.031248118,0,1.38331422,0,0,0
