,bd,cb,ct,ds,ed,ev,gw,id,jr,lb,lh,ll,ma,nu,nv,ov,pq,qn,qo,rc,va,wb,wr,ws,xb,xd,xu,zk
bd,0,0,0,0,0,2.161241052,0,0,0,0,0,9.830953322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb,0,0,0,0,0,0,0,0,0,1.931866144,0,1.513049144,0,0,0,0,0,0,7.400072115,0,0,2.614848605,0,3.528538261,1.864645837,0,0.202898551,0
ct,0,0,0,0,0,0,0.131109331,0,0,0,0,3.68225592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ds,0,0.072354537,0,0,0,2.784445208,0,0,0,0,7.562995595,4.827085694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed,0,0,0,0,0,0.251734169,0,0,0,0,0,0.369210114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ev,0,0,0,0.958590308,0.15943164,0,6.035673735,0,8.830333537,0,3.512751405,0,0,0,0.839298939,0,0,0,7.98630494,0,0,7.045879324,0,0,0,0,12.69159623,0
gw,0,0,0,0,0,0,0,0.69645558,0,0,2.884422543,0,0,0,3.824811481,2.320901519,0,0,0,0,0,0,0,4.256873814,13.30165152,0,0,5.283213545
id,0,0,0,0,0,0,0.267326384,0,0,0,0,0,0,0,3.436593514,0,0,0,3.037289128,0,0,1.390566107,0,0,1.595491638,0,0,0
jr,0,0,0,0,0,8.905965759,0,1.448471889,0,0,10.24974217,1.195368978,0,1.788638315,0.820616182,0,0,8.932928347,0,0,0,0,0,0,0,0,0,0
lb,0,0,0,0,0,0,0,0,0,0,2.988248062,2.323869738,0,0,0,0,0,0.309371065,0,0,0,0,0,0,0,0,0,0
lh,0,0,0,0,0.967915397,0,4.748560776,0,0,1.770926689,0,0,0,0,0,0,0,8.799712061,5.854382227,0,1.527155404,0,0,3.473953284,0,0,17.45272905,2.975443628
ll,2.923270672,2.396184116,1.937504552,0,0,0,2.630565582,1.258828265,0.868736351,0,0,0,0,0,0.482291967,0,4.477665846,0,0,2.038357749,0,14.48908256,0,0,0,0,0,0
ma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nu,0,0,0,0,0,0,0,0,0,0,4.588045921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14106362,0,0
nv,0,0,0,0,0,2.555427584,0,0,3.088108264,0,4.009501872,6.608119781,0,0,0,0,0,0,0,0,0,0,0,0,8.892212672,0,0,0
ov,0,0,0,0,0,3.444110929,8.758869108,5.000718768,0,0,0,0,0,0,0,0,0,4.706951603,0,0,0,0,0,0,0,0,0,0
pq,0,0,0,0,0,0,0,0,0,0,0,2.748201439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qn,0,0,0,0,0,0,0.921572536,0,7.927102525,0,5.920496439,0,0,0.229049445,0.302332278,0,0,0,3.873923219,0,0,2.097625804,0,0,0,0,7.109131164,11.20968047
qo,0,4.716854211,0,0,0,11.91187651,0,3.841221301,0,0,6.921082855,0,0,5.057814744,3.469622804,0,0,1.105412538,0,0,0,0,0,0,0,0,0,0
rc,0,7.416340066,0,0,0,0,0,0,0,0,0,4.873844695,0,0,0,0,0,0.936115122,0,0,0,0,0,0,0,0,0,0
va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211363847,0,0,0,0,0,0,0,0,0,0
wb,0,3.204287597,0,0,0,1.732282089,0,1.69392318,0,0,3.565698873,24.89783355,0,0,0,0,0.115107914,1.759994253,0,0,0,0,0,0,0,0,0,0
wr,0,0.086330935,0,0,0,1.115107914,0,0,0,0,3.470155942,3.654123143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ws,0,4.242731376,0,0,0,1.237463318,5.555472429,0,0,0,3.477325686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xb,0,0.387272597,0,0,0,0,0,0.131737842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xd,0,0,0,0,0,0,0,0,0,0,0,1.361020283,0,2.363267746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xu,0,1.079710145,0,0,0,2.067047321,0,0,0,0,2.057716437,0,0,0.355072464,0,0,0,1.297101449,0,0,0,0,0,0,0,0,0,0
zk,0,0,0,0,0,4.672215476,1.336631922,0,0,0,0,0,0,0,0.064148254,0,0,1.74878992,0,0,0,0,0,0,0,0,0,0
