G20,ID15,ID18,ID19,ID35,ID40,ID45,ID47,ID50,ID56,ID62,ID75,ID76,ID77,ID81,ID82
ID15,0,0.024827586,0.012820513,0.002475248,0,0.00635324,0.004255319,0,0,0,0,0.016643551,0.00390117,0,0
ID18,0.005517241,0,0.003476246,0.001213592,0,0.001248439,0,0.0078125,0,0,0.001322751,0.007792208,0,0,0
ID19,0.003496503,0.026651217,0,0.01320132,0,0.001118568,0.001142857,0.003370787,0,0.001121076,0,0.02108768,0.007777778,0,0
ID35,0.004950495,0.003640777,0.01320132,0,0,0.002290951,0.003667482,0.035460993,0,0,0.001187648,0,0.021028037,0.002567394,0.003605769
ID40,0,0,0,0.001194743,0,0.038157895,0,0,0,0,0,0,0,0.001686341,0
ID45,0.007623888,0.001248439,0,0.001145475,0.007894737,0,0,0,0,0,0,0.001261034,0.002412545,0,0
ID47,0,0,0,0.001222494,0.001574803,0,0,0,0,0,0.015,0,0.00140056,0,0
ID50,0,0.01171875,0.006741573,0.009456265,0,0.003708282,0.001445087,0,0,0.002915452,0,0.006535948,0.025265957,0.006144393,0
ID56,0,0,0,0,0,0,0.001766784,0,0,0,0,0.004615385,0.001468429,0.020449898,0.004878049
ID62,0.004329004,0.001367989,0,0.002444988,0,0.00127551,0.001686341,0,0.00174216,0,0,0.01255887,0.001428571,0,0
ID75,0,0,0.001119821,0.002375297,0,0,0.021666667,0,0,0,0,0,0,0.003395586,0
ID76,0.004160888,0.001298701,0,0,0,0,0.004405286,0,0.004615385,0.032967033,0,0,0.010568032,0.001569859,0.001342282
ID77,0.00260078,0,0.001111111,0.014018692,0,0.002412545,0.004201681,0.063829787,0.004405286,0.001428571,0,0.018494055,0,0,0
ID81,0,0,0,0.001283697,0,0,0,0.004608295,0.014314928,0,0,0.003139717,0.001529052,0,0.004862237
ID82,0.002680965,0.002590674,0.001104972,0.003605769,0.001416431,0,0,0,0,0.004411765,0.001468429,0.002684564,0,0.008103728,0
