,ID1,ID2,ID7,ID20,ID43,ID48,ID49,ID55,ID72,ID79
ID1,0,0.007751938,0.004418262,0.010852713,0,0.002928258,0.036144578,0.008064516,0.02406015,0
ID2,0.003100775,0,0.002911208,0.018072289,0,0,0.004457652,0.019261637,0.005847953,0
ID7,0.001472754,0.004366812,0,0,0.032496307,0,0.006042296,0.00152439,0.004451039,0.005908419
ID20,0.004651163,0.009036145,0.005988024,0,0.004754358,0.004587156,0.009244992,0.001692047,0.017160686,0.004702194
ID43,0,0,0,0.001584786,0,0.009077156,0.013595166,0.001587302,0.0328125,0.029366306
ID48,0,0,0.001464129,0.012232416,0.030257186,0,0.008928571,0.009230769,0.059701493,0
ID49,0.009036145,0.002971768,0.086102719,0.012326656,0.021148036,0.005952381,0,0.037676609,0.004484305,0.001501502
ID55,0,0,0.006097561,0.055837563,0.011111111,0.006153846,0.023547881,0,0.003174603,0
ID72,0.006015038,0,0.004451039,0.009360374,0.015625,0.01641791,0.002989537,0.015873016,0,0
ID79,0.001512859,0,0.005908419,0.003134796,0.010819165,0.001490313,0.004504505,0.006329114,0,0
