network,attributes
skinner_gartersnake01,skinner_gartersnake_attributes
skinner_gartersnake02,skinner_gartersnake_attributes
skinner_gartersnake03,skinner_gartersnake_attributes
skinner_gartersnake04,skinner_gartersnake_attributes
torfs_bonobo01,torfs_bonobo01_attributes
torfs_bonobo02,torfs_bonobo02_attributes
torfs_bonobo03,torfs_bonobo03_attributes
torfs_bonobo04,torfs_bonobo04_attributes
torfs_bonobo05,torfs_bonobo05_attributes
torfs_bonobo06,torfs_bonobo06_attributes
torfs_bonobo07,torfs_bonobo07_attributes
torfs_bonobo08,torfs_bonobo08_attributes
torfs_bonobo09,torfs_bonobo09_attributes
torfs_bonobo10,torfs_bonobo10_attributes
torfs_bonobo11,torfs_bonobo11_attributes
torfs_bonobo12,torfs_bonobo12_attributes
torfs_bonobo13,torfs_bonobo13_attributes
torfs_bonobo14,torfs_bonobo14_attributes
torfs_bonobo15,torfs_bonobo15_attributes
torfs_bonobo16,torfs_bonobo16_attributes
torfs_bonobo17,torfs_bonobo17_attributes
torfs_bonobo18,torfs_bonobo18_attributes
torfs_bonobo19,torfs_bonobo19_attributes
torfs_bonobo20.graphml,torfs_bonobo20_attributes.csv
torfs_bonobo21,torfs_bonobo21_attributes
torfs_bonobo22,torfs_bonobo22_attributes
Diaz_tamarin01,diaz_tamarin_attributes_groupA
Diaz_tamarin02,diaz_tamarin_attributes_groupA
Diaz_tamarin03,diaz_tamarin_attributes_groupB
Diaz_tamarin04,diaz_tamarin_attributes_groupB
hamilton_tasmaniandevil01,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil02,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil03,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil04,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil05,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil06,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil07,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil08,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil09,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil10,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil11,hamilton_tasmaniandevil_attributes
hamilton_tasmaniandevil12,hamilton_tasmaniandevil_attributes
maguire_cichlid01,maguire_cichlid_attributes
maguire_cichlid02,maguire_cichlid_attributes
maguire_cichlid03,maguire_cichlid_attributes
maguire_cichlid04,maguire_cichlid_attributes
maguire_cichlid05,maguire_cichlid_attributes
maguire_cichlid06,maguire_cichlid_attributes
maguire_cichlid07,maguire_cichlid_attributes
maguire_cichlid08,maguire_cichlid_attributes
maguire_cichlid09,maguire_cichlid_attributes
maguire_cichlid10,maguire_cichlid_attributes
maguire_cichlid11,maguire_cichlid_attributes
maguire_cichlid12,maguire_cichlid_attributes
maguire_cichlid13,maguire_cichlid_attributes
maguire_cichlid14,maguire_cichlid_attributes
maguire_cichlid15,maguire_cichlid_attributes
maguire_cichlid16,maguire_cichlid_attributes
maguire_cichlid17,maguire_cichlid_attributes
maguire_cichlid18,maguire_cichlid_attributes
maguire_cichlid19,maguire_cichlid_attributes
maguire_cichlid20,maguire_cichlid_attributes
maguire_cichlid21,maguire_cichlid_attributes
maguire_cichlid22,maguire_cichlid_attributes
maguire_cichlid23,maguire_cichlid_attributes
maguire_cichlid24,maguire_cichlid_attributes
maguire_cichlid25,maguire_cichlid_attributes
maguire_cichlid26,maguire_cichlid_attributes
maguire_cichlid27,maguire_cichlid_attributes
maguire_cichlid28,maguire_cichlid_attributes
maguire_cichlid29,maguire_cichlid_attributes
maguire_cichlid30,maguire_cichlid_attributes
maguire_cichlid31,maguire_cichlid_attributes
maguire_cichlid32,maguire_cichlid_attributes
maguire_cichlid33,maguire_cichlid_attributes
maguire_cichlid34,maguire_cichlid_attributes
maguire_cichlid35,maguire_cichlid_attributes
maguire_cichlid36,maguire_cichlid_attributes
maguire_cichlid37,maguire_cichlid_attributes
maguire_cichlid38,maguire_cichlid_attributes
maguire_cichlid39,maguire_cichlid_attributes
maguire_cichlid40,maguire_cichlid_attributes
maguire_cichlid41,maguire_cichlid_attributes
maguire_cichlid42,maguire_cichlid_attributes
maguire_cichlid43,maguire_cichlid_attributes
maguire_cichlid44,maguire_cichlid_attributes
maguire_cichlid45,maguire_cichlid_attributes
maguire_cichlid46,maguire_cichlid_attributes
maguire_cichlid47,maguire_cichlid_attributes
maguire_cichlid48,maguire_cichlid_attributes
maguire_cichlid49,maguire_cichlid_attributes
maguire_cichlid50,maguire_cichlid_attributes
maguire_cichlid51,maguire_cichlid_attributes
maguire_cichlid52,maguire_cichlid_attributes
maguire_cichlid53,maguire_cichlid_attributes
maguire_cichlid54,maguire_cichlid_attributes
maguire_cichlid55,maguire_cichlid_attributes
maguire_cichlid56,maguire_cichlid_attributes
pritchard_baboon01,pritchard_baboon_attributes
pritchard_baboon02,pritchard_baboon_attributes
pritchard_baboon03,pritchard_baboon_attributes
pritchard_baboon04,pritchard_baboon_attributes
pritchard_baboon05,pritchard_baboon_attributes
pritchard_baboon06,pritchard_baboon_attributes
pritchard_baboon07,pritchard_baboon_attributes
neumann_stickleback01,neumann_stickleback_attributes
neumann_stickleback02,neumann_stickleback_attributes
neumann_stickleback03,neumann_stickleback_attributes
obrien_tucotuco01,obrien_tucotuco_attributes
obrien_tucotuco02,obrien_tucotuco_attributes
obrien_tucotuco03,obrien_tucotuco_attributes
obrien_tucotuco04,obrien_tucotuco_attributes
obrien_tucotuco05,obrien_tucotuco_attributes
